,Subject,DF1,DF2,CC1,CC2s,CC2a,RC2a,LR1,LR2
1,BYZ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2,CLL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,DLC,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
4,GAX,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
5,HMH,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6,HP,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
7,HYP,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
8,JJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,JJC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,LD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,LMT,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
12,LY,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
13,PC,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
14,QP,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
15,SL,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
16,SZJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
17,TCD,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
18,WYX,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
19,XBJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,YCX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
21,YJC,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
22,YJZ,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
23,YPL,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
24,ZJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
25,ZJT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
26,ZLK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,ZXL,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
28,ZY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
29,DLC2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,LD2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,LMT2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,XBJ2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,CP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,CSF,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
35,CW,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
36,CY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
37,GJ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
38,HXT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,HZL,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
40,JYN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
41,LJJ,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
42,LR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,LT,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
44,LXL,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
45,RSL,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
46,SJ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
47,SJ2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
48,SXQ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
49,SYB,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
50,WJ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
51,WY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
52,YJX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
53,ZBY,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
54,ZC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,ZM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,ZQT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
57,ZT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,ZYC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
